alias,direccion,tipo_de_propiedad,amueblado,niveles,recamaras,banos,medios_banos,cuarto_de_servicio,estacionamientos,terreno,frente,fondo,construccion,forma,uso_de_suelo,relieve,precio,mantenimiento,estado,antiguedad,gravamen,descripcion
Agua Blanca,"Vicente Guerrero 67, Col. Agua blanca, Zapopan, Jalisco",local,,2,0,0,0,0,0,309,6.79,18.9,571.48,regular,comercial ,plano,4900000,0,regular,30,no,
Tribu Bitloft,"Colón 590 2, Col. Mexicaltzingo, Guadalajara, Jalisco",local,,0,0,0,1,0,1,100.87,,,100.87,regular,comercial ,plano,4581495,0,excelente,0,si,
Jardines del Bosque,"Calle Cenit 1220, Col. Jardines del bosque norte, Guadalajara, Jalisco","casa, oficina",,1,4,0,2,0,5,273,10.8,25.3,191,regular,"comercial, habitacional",plano,6990000,0,bueno,40,si,
Golfo de Cortés,"Golfo de Hernán Cortés 2969 3,4,5, Col. Vallarta san jorge, Guadalajara, Jalisco",plaza comercial,,2,13,0,13,0,16,993.5,,,876,regular,comercial ,plano,59000000,0,excelente,15,no,
"Boskania, Atemajac de Brizuela","Circuito Boskania 76 M10, Col. Atemajac de brizuela, Atemajac de brizuela, Jalisco",terreno,,,,,,,,838.59,11.6,,,regular,"habitacional, turistico ",plano,747000,0,excelente,0,no,
Chapala,"Carretera Chapala-Ajijic km 3.3, Col. Chulavista, Chapala, Jalisco",terreno,,,,,,,,27958,140,43.95,,regular,"comercial, habitacional",plano,56700000,0,excelente,0,no,
Ixtlahuacan,"San Juan Evnagelista 50 A, Col. Santa rosa (la hacienda de santa rosa), Ixtlahuacán de los
membrillos, Jalisco",terreno,,,,,,,,10650,,,,regular,"comercial, habitacional, turistico",plano,11000000,0,bueno,0,no,
"La vista, lote 3","Av. Privada del Acantilado 3231 3, Col. La vista, Zapopan, Jalisco",terreno,,,,,,,,200.82,8.84,2.91,,regular,habitacional,plano,2900000,1600,excelente,0,no,
Sierra Mazati Tapalpa,"Carretera tapalpa - Chiquilistlan Venado 1b, Col. Chiquilistlan, Chiquilistlán, Jalisco",terreno,,,,,,,,6127,,,,regular,"habitacional, turistico ",plano,1500000,0,excelente,0,no,
Mazati Villa Oyamel,"Ruta de los Sauces Oyamel 1- C, Col. Chiquilistlan, Chiquilistlán, Jalisco",terreno,,,,,,,,2500,48.8,67.06,,regular,"habitacional, turistico ",plano,1000000,500,excelente,0,no,
Puerto Vallarta,"Allende 503, Col. El cerro, Puerto vallarta, Jalisco",terreno,,,,,,,,227,,,,regular,"habitacional, turistico ",plano,5500000,0,excelente,13,no,
El Alamo,"Calzada Delicias 544, Col. El álamo, San pedro tlaquepaque, Jalisco",terreno,,,,,,,,3299,29.85,25.46,,regular,"comercial, habitacional, turistico",plano,62000000,0,bueno,0,no,
San Jose El Quince,"Constitución Lote 11 Manzana #35, Col. San josé del quince, El salto, Jalisco",terreno,,,,,,,,240,8,30,,regular,"comercial, habitacional",plano,500000,0,bueno,0,no,
Santa Cruz de la Loma,"Juárez, Col. Santa cruz de la loma (tepetates), Tlajomulco de zúñiga, Jalisco",terreno,,,,,,,,280.04,20.44,13.7,,regular,comercial ,plano,776000,0,excelente,0,no,
Santa Cruz de la Loma,"Pino Suárez, Col. Santa cruz de la loma (tepetates), Tlajomulco de zúñiga, Jalisco",terreno,,,,,,,,149.5,8,18.69,,regular,habitacional,plano,378800,0,excelente,0,no,
Sendas Residencial,"Rinconada del Agapando 21, Col. Nuevo méxico, Zapopan, Jalisco",terreno,,,,,,,,122.23,7.55,,,regular,habitacional,plano,1550000,850,excelente,0,si,
"El Tizate, 2 y 3","Carretera Tapalpa-Guadalajara Km. 7.33, Col. Tapalpa, Tapalpa, Jalisco",terreno,,,,,,,,20000,60,334,,regular,"comercial, habitacional, turistico",plano,14000000,0,excelente,0,no,
Potrero,"Francisco I. Madero, Col. Tapalpa, Tapalpa, Jalisco",terreno,,,,,,,,28238.11,166.1,170,,regular,"comercial, habitacional, turistico",plano,31061921,0,excelente,0,no,
Valle de San Jose,"Torrecillas, Fraccionamiento Valla de San Jose Manzana 4 Número 3, Col. Tapalpa, Tapalpa,
Jalisco",terreno,,,,,,,,2323,101,23,,regular,"habitacional, turistico ",plano,2200000,0,bueno,0,no,
Valle Imperial,"Avenida Paseo de los Emperadores Lote 17, Col. Valle imperial, Zapopan, Jalisco",terreno,,,,,,,,270.54,,,,regular,habitacional,plano,3300000,0,excelente,0,no,
